Label,SM_Clock_Req,SM_Clock_Actual,MEM_Clock_Req,MEM_Clock_Actual,Avg_Time_ms,Std_Dev_ms,Min_ms,Max_ms
SM_300MHz,300,300,,405,17.0759,0.0049,17.0680,17.0837
SM_450MHz,450,450,,6000,5.8254,0.0079,5.8189,5.8428
SM_600MHz,600,600,,6000,4.3711,0.0081,4.3645,4.3868
SM_750MHz,750,750,,810,3.4976,0.0052,3.4938,3.5121
SM_900MHz,900,900,,6000,2.9150,0.0014,2.9123,2.9175
SM_1050MHz,1050,1050,,6000,2.5104,0.0087,2.5044,2.5285
SM_1200MHz,1200,1200,,6000,2.2026,0.0191,2.1921,2.2444
SM_1350MHz,1350,1350,,6000,1.9552,0.0083,1.9494,1.9724
SM_1500MHz,1500,1500,,810,1.7607,0.0063,1.7564,1.7782
SM_1650MHz,1650,1650,,6000,1.6029,0.0083,1.5974,1.6261
