Iteration,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,lts__t_bytes.min,lts__t_request_hit_rate.ratio,lts__t_requests.max,lts__t_requests.min,lts__t_requests.sum,lts__t_sector_hit_rate.pct,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,lts__t_sectors_op_read.sum.per_second,lts__t_sectors_op_write.sum.per_second,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,smsp__inst_executed_op_global_ld.sum,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__warp_issue_stalled_misc_per_warp_active.pct
1,189464.78,170976,1.00,2103057,1341,2114072,100.37,0.06,6075590.41,6242155.55,24472.34,99.64,512,0.00,0.55,0.00,0.00
2,189532.34,182368,1.00,2102673,1432,2114486,100.77,0.06,6076380.21,6246452.05,18911.01,99.62,512,0.00,0.56,0.00,0.00
3,188263.03,182240,1.00,2068755,1429,2080425,99.00,0.06,5937524.62,6055910.05,21237.62,98.98,512,0.00,0.55,0.00,0.00
4,189506.80,157408,1.00,2054249,1235,2064156,99.66,0.06,5935530.79,6077253.17,18677.13,99.69,512,0.00,0.55,0.00,0.00
5,189545.47,185184,1.00,2122931,1454,2134826,99.54,0.06,6135944.74,6262633.28,18027.30,99.67,512,0.00,0.55,0.00,0.00
6,189581.25,184032,1.00,2102364,1443,2114359,100.18,0.06,6076933.05,6275979.48,23567.48,99.68,512,0.00,0.55,0.00,0.00
7,189576.34,208096,1.00,2103243,1631,2117334,99.56,0.06,6078583.49,6293919.37,28357.19,99.72,512,0.00,0.56,0.00,0.00
8,188307.28,160480,1.00,2116969,1259,2127191,99.38,0.06,6078788.53,6173123.19,18185.38,99.05,512,0.00,0.56,0.00,0.00
9,188225.59,209376,1.00,2180027,1641,2194208,98.77,0.06,6255401.84,6364949.27,22066.30,99.05,512,0.00,0.55,0.00,0.00
10,188287.94,206976,1.00,2137743,1625,2151039,100.10,0.06,6137346.14,6297024.29,22527.55,99.07,512,0.00,0.55,0.00,0.00
11,189507.43,196832,1.00,2165936,1543,2179237,100.86,0.06,6256960.79,6446832.57,20545.20,99.74,512,0.00,0.56,0.00,0.00
12,188190.94,234112,1.00,2181813,1837,2197651,98.60,0.06,6257926.10,6417352.57,21757.86,99.06,512,0.00,0.56,0.00,0.00
13,188199.09,253536,1.00,2138893,1988,2155068,98.91,0.06,6136873.78,6249892.02,21414.19,99.05,512,0.00,0.56,0.00,0.00
14,189542.02,229344,1.00,2165800,1797,2181043,99.72,0.06,6257541.65,6406147.73,21156.31,99.71,512,0.00,0.55,0.00,0.00
15,189351.56,206304,1.00,2096232,1617,2109393,99.98,0.06,6050827.79,6221774.67,20482.07,99.58,512,0.00,0.55,0.00,0.00
16,189552.95,217312,1.00,2104037,1703,2119149,100.29,0.06,6079806.12,6246764.04,24506.87,99.75,512,0.00,0.55,0.00,0.00
17,189591.94,207328,1.00,2093690,1625,2107026,100.01,0.06,6051132.13,6225556.36,23846.53,99.73,512,0.00,0.55,0.00,0.00
18,189562.97,225024,1.00,2094776,1764,2109712,99.12,0.06,6052761.49,6243232.70,26845.30,99.74,512,0.00,0.55,0.00,0.00
19,189564.56,206560,1.00,2124038,1623,2137354,100.19,0.06,6139400.23,6296493.30,22286.91,99.72,512,0.00,0.55,0.00,0.00
20,189613.07,175584,1.00,2055032,1377,2066518,100.70,0.06,5940456.43,6140835.34,23941.78,99.72,512,0.00,0.55,0.00,0.00
21,188248.67,209120,1.00,2069808,1639,2083348,99.08,0.06,5939188.63,6094941.30,23327.14,99.13,512,0.00,0.56,0.00,0.00
22,188325.09,189696,1.00,2068783,1488,2080814,98.77,0.06,5939415.90,6034075.58,18606.64,99.11,512,0.00,0.55,0.00,0.00
23,188365.11,191712,1.00,2068422,1503,2080684,98.72,0.06,5939496.49,6066304.36,17938.03,99.11,512,0.00,0.55,0.00,0.00
24,188254.10,177248,1.00,2107380,1393,2118988,99.67,0.06,6049372.19,6127565.32,17559.77,99.05,512,0.00,0.56,0.00,0.00
25,188334.79,236768,1.00,2069152,1855,2085193,98.28,0.06,5938830.90,6111785.32,27154.17,99.07,512,0.00,0.55,0.00,0.00
26,189434.51,189664,1.00,2057194,1487,2069878,99.78,0.06,5940412.05,6109329.50,23427.84,99.68,512,0.00,0.55,0.00,0.00
27,189258.84,196704,1.00,2127276,1544,2140230,100.01,0.06,6138936.34,6312441.90,21840.89,99.57,512,0.00,0.55,0.00,0.00
28,189605.61,181856,1.00,2122857,1428,2134515,100.70,0.06,6137752.64,6322081.15,23611.01,99.76,512,0.00,0.56,0.00,0.00
29,189627.65,170464,1.00,2093094,1337,2104130,99.83,0.06,6051403.70,6237044.12,19846.44,99.78,512,0.00,0.56,0.00,0.00
30,189652.93,197088,1.00,2054736,1545,2067587,99.52,0.06,5940177.21,6080512.74,19704.39,99.80,512,0.00,0.55,0.00,0.00
