Metric_Name,Min,Max,Average,Std_Dev,Range,CV_Percent,Samples
l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,188059.300000,189652.930000,189038.717333,604.824171,1593.630000,0.32,60
lts__t_bytes.min,157408.000000,265472.000000,197318.933333,22575.788020,108064.000000,11.44,60
lts__t_request_hit_rate.ratio,1.000000,1.000000,1.000000,0.000000,0.000000,0.00,60
lts__t_requests.max,2054249.000000,2182718.000000,2105344.750000,36363.078921,128469.000000,1.73,60
lts__t_requests.min,1235.000000,2080.000000,1547.816667,176.431242,845.000000,11.40,60
lts__t_requests.sum,2064156.000000,2197651.000000,2118222.266667,37048.141077,133495.000000,1.75,60
lts__t_sector_hit_rate.pct,98.280000,101.040000,99.718333,0.671206,2.760000,0.67,60
lts__t_sectors.avg.pct_of_peak_sustained_elapsed,0.060000,0.060000,0.060000,0.000000,0.000000,0.00,60
lts__t_sectors_aperture_sysmem_op_read.sum.per_second,5935530.790000,6257976.220000,6067520.038500,103901.215163,322445.430000,1.71,60
lts__t_sectors_op_read.sum.per_second,6007285.640000,6470791.700000,6219775.443333,111530.007084,463506.060000,1.79,60
lts__t_sectors_op_write.sum.per_second,16276.410000,28357.190000,21789.242667,2854.504639,12080.780000,13.10,60
smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,98.970000,99.800000,99.450667,0.308884,0.830000,0.31,60
smsp__inst_executed_op_global_ld.sum,512.000000,512.000000,512.000000,0.000000,0.000000,0.00,60
smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,60
smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,0.550000,0.560000,0.554000,0.004899,0.010000,0.88,60
smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,60
smsp__warp_issue_stalled_misc_per_warp_active.pct,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,60
