Iteration,==PROF== Connected to process 4721 (/home/zaineb/building-aggressors-on-Orin/first-experiments/poc/ncuoverhead/ncuhead)
1,==PROF== Disconnected from process 4721
1,"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
1,"0","4721","ncuhead","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.7","Command line profiler metrics","l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second","byte/s","77 698,05"
1,"0","4721","ncuhead","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.7","Command line profiler metrics","lts__t_bytes.min","byte","34 816"
1,"0","4721","ncuhead","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.7","Command line profiler metrics","lts__t_request_hit_rate.ratio","","0,46"
1,"0","4721","ncuhead","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.7","Command line profiler metrics","lts__t_requests.max","request","288"
1,"0","4721","ncuhead","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.7","Command line profiler metrics","lts__t_requests.min","request","278"
1,"0","4721","ncuhead","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.7","Command line profiler metrics","lts__t_requests.sum","request","1 128"
1,"0","4721","ncuhead","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.7","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","49,94"
1,"0","4721","ncuhead","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.7","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","0,00"
1,"0","4721","ncuhead","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.7","Command line profiler metrics","lts__t_sectors_aperture_sysmem_op_read.sum.per_second","sector/s","2 627,24"
1,"0","4721","ncuhead","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.7","Command line profiler metrics","lts__t_sectors_op_read.sum.per_second","sector/s","2 627,24"
1,"0","4721","ncuhead","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.7","Command line profiler metrics","lts__t_sectors_op_write.sum.per_second","sector/s","2 443,48"
1,"0","4721","ncuhead","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.7","Command line profiler metrics","smsp__cycles_active.avg.pct_of_peak_sustained_elapsed","%","99,86"
1,"0","4721","ncuhead","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.7","Command line profiler metrics","smsp__inst_executed_op_global_ld.sum","inst","512"
1,"0","4721","ncuhead","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.7","Command line profiler metrics","smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active","%","0,00"
1,"0","4721","ncuhead","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.7","Command line profiler metrics","smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct","%","3,46"
1,"0","4721","ncuhead","127.0.0.1","computeKernel(float *, int)","1","7","(256, 1, 1)","(64, 1, 1)","0","8.7","Command line profiler metrics","smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct","%","0,00"
