Iteration,Metric_Name,Metric_Value,Metric_Unit
1,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 69805,byte/s
1,lts__t_bytes.min,34 816,byte
1,lts__t_request_hit_rate.ratio,046,
1,lts__t_requests.max,288,request
1,lts__t_requests.min,278,request
1,lts__t_requests.sum,1 128,request
1,lts__t_sector_hit_rate.pct,4994,%
1,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
1,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62724,sector/s
1,lts__t_sectors_op_read.sum.per_second,2 62724,sector/s
1,lts__t_sectors_op_write.sum.per_second,2 44348,sector/s
1,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9986,%
1,smsp__inst_executed_op_global_ld.sum,512,inst
1,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
1,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
1,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
1,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
2,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 67685,byte/s
2,lts__t_bytes.min,35 072,byte
2,lts__t_request_hit_rate.ratio,046,
2,lts__t_requests.max,285,request
2,lts__t_requests.min,280,request
2,lts__t_requests.sum,1 128,request
2,lts__t_sector_hit_rate.pct,4994,%
2,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
2,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62652,sector/s
2,lts__t_sectors_op_read.sum.per_second,2 62652,sector/s
2,lts__t_sectors_op_write.sum.per_second,2 44281,sector/s
2,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9994,%
2,smsp__inst_executed_op_global_ld.sum,512,inst
2,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
2,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
2,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
2,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
3,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 68692,byte/s
3,lts__t_bytes.min,34 816,byte
3,lts__t_request_hit_rate.ratio,046,
3,lts__t_requests.max,287,request
3,lts__t_requests.min,278,request
3,lts__t_requests.sum,1 128,request
3,lts__t_sector_hit_rate.pct,4994,%
3,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
3,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62686,sector/s
3,lts__t_sectors_op_read.sum.per_second,2 62686,sector/s
3,lts__t_sectors_op_write.sum.per_second,2 44313,sector/s
3,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9988,%
3,smsp__inst_executed_op_global_ld.sum,512,inst
3,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
3,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
3,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
3,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
4,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 68331,byte/s
4,lts__t_bytes.min,34 816,byte
4,lts__t_request_hit_rate.ratio,046,
4,lts__t_requests.max,288,request
4,lts__t_requests.min,278,request
4,lts__t_requests.sum,1 128,request
4,lts__t_sector_hit_rate.pct,4994,%
4,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
4,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62674,sector/s
4,lts__t_sectors_op_read.sum.per_second,2 62674,sector/s
4,lts__t_sectors_op_write.sum.per_second,2 44301,sector/s
4,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9992,%
4,smsp__inst_executed_op_global_ld.sum,512,inst
4,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
4,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
4,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
4,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
5,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 69944,byte/s
5,lts__t_bytes.min,35 072,byte
5,lts__t_request_hit_rate.ratio,046,
5,lts__t_requests.max,284,request
5,lts__t_requests.min,280,request
5,lts__t_requests.sum,1 128,request
5,lts__t_sector_hit_rate.pct,4994,%
5,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
5,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62729,sector/s
5,lts__t_sectors_op_read.sum.per_second,2 62729,sector/s
5,lts__t_sectors_op_write.sum.per_second,2 44352,sector/s
5,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9994,%
5,smsp__inst_executed_op_global_ld.sum,512,inst
5,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
5,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
5,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
5,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
6,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 68665,byte/s
6,lts__t_bytes.min,34 848,byte
6,lts__t_request_hit_rate.ratio,046,
6,lts__t_requests.max,286,request
6,lts__t_requests.min,279,request
6,lts__t_requests.sum,1 128,request
6,lts__t_sector_hit_rate.pct,4994,%
6,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
6,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62686,sector/s
6,lts__t_sectors_op_read.sum.per_second,2 62686,sector/s
6,lts__t_sectors_op_write.sum.per_second,2 44312,sector/s
6,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9989,%
6,smsp__inst_executed_op_global_ld.sum,512,inst
6,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
6,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
6,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
6,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
7,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 72550,byte/s
7,lts__t_bytes.min,34 944,byte
7,lts__t_request_hit_rate.ratio,046,
7,lts__t_requests.max,284,request
7,lts__t_requests.min,281,request
7,lts__t_requests.sum,1 128,request
7,lts__t_sector_hit_rate.pct,4994,%
7,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
7,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62817,sector/s
7,lts__t_sectors_op_read.sum.per_second,2 62817,sector/s
7,lts__t_sectors_op_write.sum.per_second,2 44434,sector/s
7,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9995,%
7,smsp__inst_executed_op_global_ld.sum,512,inst
7,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
7,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
7,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
7,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
8,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 68348,byte/s
8,lts__t_bytes.min,34 816,byte
8,lts__t_request_hit_rate.ratio,046,
8,lts__t_requests.max,289,request
8,lts__t_requests.min,278,request
8,lts__t_requests.sum,1 128,request
8,lts__t_sector_hit_rate.pct,4994,%
8,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
8,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62675,sector/s
8,lts__t_sectors_op_read.sum.per_second,2 62675,sector/s
8,lts__t_sectors_op_write.sum.per_second,2 44302,sector/s
8,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9992,%
8,smsp__inst_executed_op_global_ld.sum,512,inst
8,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
8,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
8,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
8,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
9,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 68925,byte/s
9,lts__t_bytes.min,35 072,byte
9,lts__t_request_hit_rate.ratio,046,
9,lts__t_requests.max,283,request
9,lts__t_requests.min,280,request
9,lts__t_requests.sum,1 128,request
9,lts__t_sector_hit_rate.pct,4994,%
9,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
