NCU OVERHEAD ANALYSIS - MEMORY KERNEL
BASELINE (No NCU Profiling)
----------------------------------------------------------------------
CUDA Events:  0.0111 ms


INCREMENTAL PROFILING RESULTS
==========================================================================================
Metrics    Passes     Kernel Time (ms)    
------------------------------------------------------------------------------------------
   1       1          316.5920            
   2       1          500.6675            
   3       1          450.0193            
   4       1          820.3936            
   5       1          865.9183            
   6       1          895.8801            
 7       3          1039.6964           
   8       3          1318.9895           
   9       3          1505.6885           
   10      3          1554.1969           
   11      3          1131.7384           
   12      3          1141.1316           
   13      3          1106.6716           
 14      6          1226.4415           
   15      6          1572.0830           
 16      7          1976.6447           
   17      7          1987.5801           
 18      8          2696.0400           
   19      8          2409.8569           
   20      8          2478.4336           
 21      9          1882.3153           
 22      10         1898.8448           
   23      10         2789.5669           
 24      11         2912.7312           
   25      11         2426.0251           
 26      12         2177.0549           
   27      12         2238.4214           
 28      13         2333.0913           
   29      13         2410.4263           
 30      14         2998.1968           
   31      14         4022.7722           
   32      14         4345.0889           
   33      14         4748.3608           
   34      14         3981.4724           
 35      16         5093.2773           
   36      16         4923.2310           
   37      16         5056.8716           
   38      16         4754.7227           
   39      16         4728.1016           
   40      16         7846.1582           
   41      16         4922.5249           
   42      16         4584.5073           
   43      16         6118.3398           
   44      16         5618.4312           
   45      16         5700.0283           
   46      16         5584.5928           
 47      17         6101.3281           
   48      17         5507.7529           
   49      17         6070.2085           
 50      18         6273.6631           
   51      18         7252.6919           
   52      18         5691.8374           
   53      18         9010.5195           
 54      19         6270.3213           
   55      19         7258.7515           
   56      19         7362.4409           
   57      19         7569.7534           
   58      19         7461.5635           
 59      20         7289.4248           
   60      20         7218.9370           
   61      20         6841.7412           
   62      20         10658.8701          
   63      20         7332.9727           
   64      20         7882.1724           
   65      20         10369.8906          
   66      20         7557.4146           
   67      20         8729.1934           
   68      20         7694.5952           
   69      20         8787.4980           
   70      20         8465.9941           
   71      20         9291.7617           
   72      20         8193.4404           
   73      20         8501.0137           
   74      20         10543.9180          
   75      20         7545.1084           
   76      20         7782.3584           
 77      21         7415.8145           
   78      21         7786.8901           
   79      21         7777.0103           
   80      21         7895.8291           
   81      21         8005.6284           
 82      22         8243.2266           
   83      22         11433.0225          
   84      22         8230.0898           
   85      22         11437.1025          
   86      22         8398.0605           
   87      22         8624.1494           
   88      22         8573.7188           
   89      22         9347.4443           
   90      22         8872.7979           
   91      22         11346.3125          
   92      22         11260.2314          
   93      22         8809.5771           
   94      22         10308.7715          
   95      22         9297.5576           
   96      22         8682.8564           
   97      22         10059.7920          
   98      22         9809.7510           
   99      22         10113.6387          
   100     22         9324.2012           
   101     22         9587.3193           
   102     22         9926.7881           
   103     22         9924.9277           
   104     22         8861.9883           
   105     22         11513.0176          
   106     22         8904.8945           
   107     22         9330.3398           
   108     22         8590.6885           
   109     22         8493.5049           
   110     22         10467.6777          
   111     22         11521.4365          
   112     22         8678.6152           
   113     22         10893.9609          
   114     22         12068.0117          
   115     22         9576.7910           
   116     22         10217.4434          
   117     22         10040.5771          
   118     22         11013.7998          
   119     22         12629.0205          
   120     22         11494.3672          
   121     22         10520.0967          
   122     22         10041.7334          
   123     22         10400.5908          
   124     22         10379.2217          
   125     22         10886.8838          
   126     22         11704.2041          
   127     22         12160.7402          
   128     22         12382.6035          
   129     22         12117.0596          
