runtime_seconds,num_enemy_sms,victim_ws_kb,enemy_array_mb,victim_grid_x,victim_block_x,enemy_block_x,victim_alone_ms,victim_concurrent_ms,enemy_ms,lts_sectors_avg_alone,lts_miss_avg_alone,lts_sectors_avg_concurrent,lts_miss_avg_concurrent
10,8,512,8,1,32,128,356.92,7892.51,7796.35,64337445.38,391.25,64337832.62,729.25
10,1,512,8,1,32,128,317.58,340.94,7926.77,64337390.38,172.25,64340909.88,513.25
10,2,512,8,1,32,128,317.88,1516.93,7942.43,64339741.62,371.75,64337657.75,455.25
10,4,512,8,1,32,128,320.29,3473.28,7991.28,64337951.25,174.25,64340159.62,728.25
10,6,512,8,1,32,128,320.41,7207.99,7990.54,64332170.25,154.75,64333460.62,757.25
10,8,512,8,1,32,128,320.34,8117.94,8019.46,64338234.25,178.75,64340874.38,650.25
10,10,512,8,1,32,128,320.39,8199.64,8043.29,64352392.12,192.25,64349919.38,632.25
10,12,512,8,1,32,128,320.34,8271.53,8049.92,64342811.5,315.75,64345473.0,736.25
10,16,512,8,1,32,128,320.39,8368.82,8075.88,64336624.0,206.75,64340816.88,713.25
10,8,64,8,1,32,128,320.35,8158.75,8064.19,64338847.5,161.25,64340697.0,770.88
10,8,128,8,1,32,128,320.32,8177.17,8076.82,64340190.38,179.25,64342217.0,746.25
10,8,256,8,1,32,128,320.39,8142.85,8049.83,64349716.75,183.25,64351630.75,581.25
10,8,384,8,1,32,128,320.36,8131.88,8039.26,64340848.62,383.25,64340859.5,761.25
10,8,512,8,1,32,128,320.35,8134.09,8040.97,64354011.88,408.75,64352244.62,554.25
10,8,768,8,1,32,128,320.4,8130.42,8038.68,64343258.25,170.25,64345673.62,770.25
10,8,1024,8,1,32,128,320.29,8135.45,8039.39,64343468.75,164.25,64342344.5,775.25
10,8,2048,8,1,32,128,320.31,8130.58,8039.41,64339656.12,190.75,64341666.88,744.25
10,8,4096,8,1,32,128,320.32,8145.53,8051.3,64342940.38,219.75,64345341.12,735.25
10,8,512,2,1,32,128,320.36,4229.73,8437.67,64338486.5,124.25,64341291.75,703.25
10,8,512,4,1,32,128,320.31,8123.35,8106.15,64349536.38,193.25,64352399.0,648.25
10,8,512,6,1,32,128,320.72,8134.29,8064.53,64339598.12,86.75,64342331.12,700.25
10,8,512,8,1,32,128,320.39,8155.41,8054.05,64339599.88,354.75,64342331.5,805.25
10,8,512,12,1,32,128,320.33,8129.99,8014.19,64339859.12,153.75,64342196.38,563.25
10,8,512,16,1,32,128,320.28,8143.56,8016.52,64340046.62,177.25,64342386.25,619.25
10,8,512,8,1,32,128,320.33,8152.35,8051.46,64339876.88,80.75,64342431.0,719.25
10,8,512,8,2,32,128,329.81,8134.8,8042.12,128338623.0,78.25,128340422.38,727.25
10,8,512,8,4,32,128,324.05,8159.54,8082.52,256343421.5,208.25,256341852.75,726.25
10,8,512,8,8,32,128,368.72,8165.85,8100.05,512386060.5,286.25,512388241.12,796.25
10,8,512,8,16,32,128,654.97,8044.64,8153.17,1024609624.5,677.75,1024602702.5,841.25
10,8,512,8,1,32,128,320.33,8139.25,8044.04,64337896.75,375.75,64340901.62,737.25
10,8,512,8,1,64,128,563.54,8393.86,8056.55,128594481.38,173.75,128597020.12,755.25
10,8,512,8,1,128,128,1101.76,8857.66,8048.58,257157968.5,220.25,257160247.38,752.25
10,8,512,8,1,256,128,2202.73,9961.8,8047.77,514315959.5,489.75,514317792.38,840.25
10,8,512,8,1,512,128,4405.84,12179.61,8052.63,1028787807.0,1377.75,1028790479.0,892.25
10,8,512,8,1,32,32,320.31,3466.42,8039.52,64343600.0,170.25,64344656.62,709.25
10,8,512,8,1,32,64,323.01,8335.71,8248.5,64349407.75,75.75,64351745.62,754.25
10,8,512,8,1,32,128,332.41,8426.72,8342.16,64343531.38,71.75,64345369.38,659.25
10,8,512,8,1,32,256,322.86,8571.05,8479.04,64339408.75,348.75,64342352.12,740.25
10,8,512,8,1,32,512,322.93,8557.3,8464.23,64340409.0,160.75,64340494.88,760.88
10,8,512,8,1,32,1024,322.86,1942.94,8690.13,64353448.62,366.75,64351947.38,740.25
