runtime_seconds,num_enemy_sms,victim_ws_kb,enemy_array_mb,victim_grid_x,victim_block_x,enemy_block_x,victim_alone_ms,victim_concurrent_ms,enemy_ms,lts_sectors_avg_alone,lts_miss_avg_alone,lts_sectors_avg_concurrent,lts_miss_avg_concurrent
10,8,512,8,1,32,128,355.6,7892.04,7795.43,64348709.0,224.25,64350903.12,721.25
10,1,512,8,1,32,128,317.6,340.57,7930.12,64349106.88,68.75,64349070.25,428.25
10,2,512,8,1,32,128,320.17,1516.2,7988.08,64342435.38,190.25,64342604.75,624.25
10,4,512,8,1,32,128,320.18,3474.58,7992.65,64338225.25,228.75,64340088.12,740.25
10,6,512,8,1,32,128,320.4,7208.89,7995.19,64349801.38,163.75,64352629.5,796.88
10,10,512,8,1,32,128,320.37,8242.78,8079.84,64342993.25,77.25,64345563.62,757.25
10,12,512,8,1,32,128,333.51,8369.98,8150.77,64342921.38,162.25,64345448.0,717.25
10,16,512,8,1,32,128,320.51,8746.72,8439.43,64339643.62,214.25,64342619.25,740.25
10,8,64,8,1,32,128,320.48,8436.96,8348.92,64338100.88,195.75,64340162.62,712.25
10,8,128,8,1,32,128,322.91,8514.49,8419.82,64349793.0,195.75,64352331.12,558.25
10,8,256,8,1,32,128,322.97,8544.98,8448.26,64335098.12,180.25,64334440.12,726.25
10,8,384,8,1,32,128,322.93,8602.01,8516.01,64337830.0,183.75,64340584.62,722.12
10,8,768,8,1,32,128,322.9,8884.68,8797.35,64339125.0,346.38,64340527.38,753.25
10,8,1024,8,1,32,128,322.85,9090.13,9009.92,64338073.38,208.75,64341116.88,635.25
10,8,2048,8,1,32,128,322.97,8936.98,8848.46,64338224.25,79.75,64340812.5,718.25
10,8,4096,8,1,32,128,322.93,8808.66,8731.49,64349706.88,81.75,64352029.25,766.25
10,8,512,2,1,32,128,323.0,4224.75,9647.5,64338305.88,322.25,64341018.12,751.25
10,8,512,4,1,32,128,322.97,9275.02,9940.9,64349791.25,76.75,64352267.62,649.25
10,8,512,6,1,32,128,323.56,9493.41,9458.99,64344757.88,304.75,64345625.38,708.25
10,8,512,8,1,32,128,322.99,9446.93,9385.38,64349807.25,412.75,64352389.0,750.25
10,8,512,12,1,32,128,322.86,9903.85,9829.42,64349591.25,224.25,64352142.88,761.25
10,8,512,16,1,32,128,341.53,11067.34,10995.56,64340460.38,192.75,64340618.62,720.25
10,8,512,8,2,32,128,386.29,11029.39,11004.47,128349907.12,230.75,128352228.62,715.25
10,8,512,8,4,32,128,371.58,11006.72,10992.36,256348781.12,250.75,256346897.88,767.25
10,8,512,8,8,32,128,503.58,10464.26,11017.25,512385657.75,264.25,512389329.62,773.25
10,8,512,8,16,32,128,782.71,8011.27,11015.41,1024626811.88,395.75,1024598105.38,893.25
10,8,512,8,1,64,128,600.34,10898.76,10594.91,128601237.0,226.25,128603518.75,730.25
10,8,512,8,1,128,128,1143.73,10499.09,9711.69,257137735.75,461.25,257140420.38,744.25
10,8,512,8,1,256,128,2249.67,11933.52,9883.98,514279961.0,535.75,514277784.5,840.25
10,8,512,8,1,512,128,4442.55,13944.07,9542.89,1028661485.75,2039.75,1028658020.25,731.25
10,8,512,8,1,32,32,322.92,3463.28,8445.35,64349802.12,89.75,64352057.25,732.25
10,8,512,8,1,32,64,347.1,9157.2,9073.7,64352009.75,199.75,64352981.62,729.25
10,8,512,8,1,32,256,322.96,9556.16,9489.23,64350406.88,74.25,64352998.38,725.25
10,8,512,8,1,32,512,322.68,9506.34,9427.22,64339733.12,197.25,64342575.62,749.25
10,8,512,8,1,32,1024,323.01,1965.19,9700.91,64344749.25,212.25,64345244.0,781.12
