runtime_seconds,num_enemy_sms,victim_ws_kb,enemy_array_mb,victim_grid_x,victim_block_x,enemy_block_x,victim_alone_ms,victim_concurrent_ms,enemy_ms,lts_sectors_avg_alone,lts_miss_avg_alone,lts_sectors_avg_concurrent,lts_miss_avg_concurrent
10,8,512,8,1,32,128,357.95,7969.28,7867.66,64351551.12,131.75,64351095.38,722.25
10,6,512,8,1,32,128,332.99,7215.25,7968.8,64342751.12,60.25,64344483.25,769.25
10,8,512,8,1,32,128,320.29,8125.77,8028.43,64342313.12,189.25,64340120.12,761.25
10,8,64,8,1,32,128,320.36,8162.02,8063.2,64337810.0,167.75,64340504.62,776.25
10,8,128,8,1,32,128,320.38,8188.08,8095.86,64339957.0,65.75,64340285.75,513.25
10,8,256,8,1,32,128,331.5,8213.61,8118.51,64345017.5,91.25,64347725.75,755.25
10,8,512,2,1,32,128,322.94,4227.86,8545.54,64349865.12,81.25,64353103.75,753.12
10,8,512,4,1,32,128,322.92,8635.54,8633.17,64349888.25,296.75,64351731.0,735.25
10,8,512,6,1,32,128,323.12,8600.96,8527.87,64350201.62,165.75,64352082.88,710.25
10,8,512,8,1,32,128,339.77,8664.14,8577.31,64349493.25,84.75,64352472.12,764.25
10,8,512,12,1,32,128,322.91,8693.47,8593.95,64348155.75,165.75,64345532.0,700.25
10,8,512,16,1,32,128,322.85,8741.26,8631.58,64338521.62,197.75,64339994.62,656.25
10,8,512,8,1,32,128,322.98,8794.48,8710.1,64343026.62,198.25,64345563.0,594.25
10,8,512,8,2,32,128,323.2,8865.27,8784.49,128343752.25,68.75,128345415.0,783.25
10,8,512,8,4,32,128,326.8,9086.23,9021.74,256333366.62,364.25,256337379.12,610.25
10,8,512,8,8,32,128,393.68,9228.0,9202.29,512372210.12,133.75,512371867.88,806.25
10,8,512,8,16,32,128,733.48,8025.66,9231.76,1024589322.0,721.75,1024586676.12,877.25
10,8,512,8,1,32,128,322.9,8972.34,8894.03,64338420.88,202.25,64340572.5,741.25
10,8,512,8,1,64,128,568.11,8931.94,8600.05,128602712.38,219.75,128602908.0,603.25
10,8,512,8,1,128,128,1110.58,9331.52,8531.15,257158211.38,238.75,257161500.88,667.25
10,8,512,8,1,256,128,2220.87,10298.91,8389.94,514350286.12,483.25,514352063.88,780.25
10,8,512,8,1,512,128,4441.79,12406.33,8279.21,1028658002.25,2097.0,1028657512.38,907.25
10,8,512,8,1,32,32,320.35,3466.07,8047.02,64339998.38,167.75,64340154.0,709.25
10,8,512,8,1,32,64,322.87,8274.76,8184.4,64343036.88,76.75,64345894.0,729.25
10,8,512,8,1,32,128,322.97,8393.88,8296.48,64343109.62,74.25,64345638.62,750.25
10,8,512,8,1,32,256,322.91,8406.68,8318.52,64343255.0,193.25,64345563.88,754.25
10,8,512,8,1,32,512,323.0,8428.78,8330.62,64342887.25,188.75,64345619.75,768.25
10,8,512,8,1,32,1024,322.93,1941.78,8327.24,64349930.25,203.75,64352086.25,875.12
