runtime_seconds,num_enemy_sms,victim_ws_kb,enemy_array_mb,victim_grid_x,victim_block_x,enemy_block_x,victim_alone_ms,victim_concurrent_ms,enemy_ms,lts_sectors_avg_alone,lts_miss_avg_alone,lts_sectors_avg_concurrent,lts_miss_avg_concurrent
10,12,384,6,16,64,32,1289.62,6672.13,7996.94,2049068509.25,1842.75,2049091347.0,993.25
10,6,768,8,2,256,512,2202.09,9554.81,8025.78,1026285105.38,1074.75,1026284737.25,838.25
10,10,128,2,4,512,64,4430.54,17351.01,8483.42,4100708687.38,4324.0,4100711637.38,1020.5
10,2,2048,16,8,128,512,1248.86,1608.11,8195.5,2049249713.88,1938.25,2049224949.38,1027.25
10,10,1024,16,8,64,64,669.21,8775.38,8282.56,1024646140.75,448.25,1024641658.75,865.25
10,1,256,2,4,256,256,2239.07,2520.91,8605.36,2050400324.12,2674.25,2050400888.0,766.25
10,16,4096,8,2,512,32,4449.19,12780.66,8353.12,2052809629.38,5473.0,2052807162.12,927.25
10,2,64,6,16,128,1024,2532.33,3808.41,8396.86,4098073115.25,1267.0,4098006257.25,665.5
10,6,4096,4,2,128,64,1110.58,8853.62,8375.57,513162555.12,463.25,513164570.88,638.25
10,2,64,16,16,512,256,10801.5,12715.13,10069.83,16392607536.25,6585.5,16393291678.25,886.5
10,12,1024,6,8,256,32,2611.91,10650.13,8713.3,4098375531.5,8379.25,4098317290.25,1148.25
10,6,256,12,4,64,1024,580.51,1481.97,9340.15,512601902.38,258.25,512604388.88,448.25
10,16,128,8,4,128,32,1141.13,11655.83,9338.72,1025161941.88,856.75,1025166116.5,829.25
10,4,2048,4,8,512,1024,5642.07,11899.82,10093.53,8196568298.25,21026.75,8196503780.62,1806.25
10,12,384,12,16,256,256,5581.74,14623.53,9503.66,8195508638.62,47786.0,8195525804.62,1517.5
10,1,768,2,2,64,512,568.51,631.0,8844.32,256597519.75,233.75,256599177.12,621.25
10,10,64,8,8,512,512,5800.15,15372.92,10000.37,8196560863.75,2411.0,8196703847.12,870.5
10,1,4096,6,4,128,32,1191.54,1583.74,8994.43,1025200963.0,495.75,1025202225.62,529.25
10,16,256,16,2,64,512,573.48,10699.63,9514.15,256594641.25,220.75,256596681.38,537.25
10,4,1024,2,16,256,256,6119.51,8191.26,11013.24,8195689850.88,43555.38,8195639055.5,1693.25
