runtime_seconds,num_enemy_sms,victim_ws_kb,enemy_array_mb,victim_grid_x,victim_block_x,enemy_block_x,victim_alone_ms,victim_concurrent_ms,enemy_ms,lts_sectors_avg_alone,lts_miss_avg_alone,lts_sectors_avg_concurrent,lts_miss_avg_concurrent
10,10,768,8,8,256,64,2503.48,10184.78,8068.96,4098303620.62,8162.0,4098222732.25,1255.25
10,2,256,4,2,128,1024,1110.63,1123.53,8065.78,513180236.62,177.75,513180329.0,793.25
10,16,2048,16,4,64,32,568.03,9226.69,8127.54,512601167.5,253.25,512603510.25,882.12
10,1,64,4,16,512,256,10159.0,11643.22,9177.26,16393528029.25,12482.75,16393514777.75,935.12
10,12,384,6,16,256,64,4933.5,12649.6,8252.33,8196123165.0,22991.12,8195840987.38,1442.5
10,2,1024,16,4,128,512,1111.61,1189.65,8108.57,1025202695.62,571.25,1025200413.75,889.25
10,10,128,2,2,64,256,568.05,7108.98,8519.56,256599211.88,220.75,256599774.0,802.25
10,4,4096,12,8,512,1024,5094.82,10812.6,8693.21,8196602441.5,21160.75,8196430753.75,1785.25
10,16,128,12,2,512,32,4441.35,12476.18,8054.89,2052658583.88,3859.0,2052655293.62,993.5
10,1,4096,6,8,64,512,664.89,967.69,8110.6,1024646357.5,453.75,1024644114.62,620.25
10,10,384,8,16,128,256,2478.5,10219.17,8168.2,4098030589.75,21779.25,4097847397.62,1279.25
10,4,1024,2,4,256,1024,2224.35,2482.19,8237.61,2050402205.0,3220.75,2050402407.88,998.25
10,6,2048,4,4,512,64,4465.18,11960.08,8107.81,4100712032.88,22247.75,4100710941.12,1250.25
10,6,64,8,16,64,512,1387.13,9621.44,8151.67,2049395762.0,659.0,2049382696.75,765.5
10,12,768,6,8,128,32,1272.31,8702.97,8183.85,2049163545.88,1574.75,2049113582.12,966.25
10,2,256,16,2,256,256,2220.8,2585.05,8090.35,1026359418.5,1040.75,1026360619.38,899.25
10,12,4096,2,16,64,1024,1270.91,8659.57,8681.94,2049181870.62,2787.75,2049163167.38,913.25
10,2,128,12,4,512,64,4442.91,10566.9,8120.78,4100710473.75,4056.62,4100714327.0,858.5
10,6,1024,6,2,256,256,2203.16,9743.43,8095.73,1026364348.88,1104.25,1026362661.88,880.25
10,6,384,16,8,128,32,1253.75,6858.69,8163.86,2049172776.0,1216.75,2049136252.0,992.25
10,10,64,16,8,64,512,662.88,8504.7,8136.36,1024638251.88,464.5,1024631078.62,876.5
10,4,2048,4,2,512,64,4442.02,11533.92,8133.14,2052720610.0,5090.5,2052671253.25,1055.25
10,16,256,8,4,256,1024,2228.57,16968.22,8103.71,2050355174.75,2728.75,2050356902.0,781.25
10,1,768,2,16,128,64,2484.37,2734.21,8212.63,4097816573.62,9298.5,4097751836.5,1253.25
10,6,256,6,4,128,512,1103.43,8458.7,8148.93,1025193509.88,581.25,1025182168.62,671.25
10,4,768,16,16,256,32,5004.99,6403.91,8692.25,8195713683.38,25940.25,8195790461.75,1800.25
10,12,64,4,8,512,1024,4912.61,16115.53,8280.73,8196425018.75,2263.5,8196641647.25,880.5
10,2,2048,8,2,64,256,563.49,644.38,8005.46,256603057.12,118.25,256605706.38,789.25
10,16,1024,12,2,128,512,1101.74,10322.68,8118.78,513168850.25,248.25,513171794.88,835.25
10,1,384,2,8,256,64,2493.64,3305.35,8307.72,4098316335.75,13877.5,4098280381.25,1079.25
10,12,4096,12,16,512,512,10006.81,22806.67,8256.27,16386923530.75,45221448.62,16386863992.25,46270812.88
10,2,128,6,4,64,32,563.83,1183.3,8013.07,512597088.75,462.25,512597138.5,825.25
10,16,384,2,8,64,256,666.72,12904.42,8520.49,1024640949.38,696.25,1024651126.62,769.25
10,1,1024,8,2,512,32,4407.0,5776.52,8065.21,2052651220.38,8013.5,2052654341.12,989.25
10,10,128,4,4,256,1024,2205.94,9242.5,8213.36,2050335383.12,2387.0,2050336837.5,1001.5
10,4,4096,16,16,128,64,2474.88,6963.69,8353.82,4097819721.88,8967.25,4097734142.12,1273.25
10,10,768,12,16,64,1024,1267.48,8983.94,8169.54,2048975628.75,2008.25,2048956108.88,1009.25
10,4,256,6,4,512,64,4408.44,11662.98,8118.79,4100653359.5,15209.75,4100648171.5,1247.5
10,12,2048,12,2,256,512,2203.77,9989.71,8072.4,1026328458.5,1046.25,1026328079.0,876.25
10,2,64,2,8,128,32,1209.71,1642.8,8106.79,2049141817.25,768.0,2049109958.38,811.5
10,10,2048,6,2,128,1024,1101.87,8143.08,8119.33,513163136.75,292.25,513165705.12,810.25
10,4,64,12,8,256,256,2576.12,9593.91,8194.9,4098569321.0,1331.0,4098586674.25,886.5
10,16,768,2,16,512,512,9996.37,27739.66,8597.38,16390986653.62,65499.75,16391074478.38,12571.5
10,1,256,8,4,64,32,563.79,810.5,8000.15,512593953.25,241.25,512593770.5,611.25
10,12,128,8,4,128,512,1102.7,8882.99,8114.43,1025179354.25,569.75,1025182907.25,859.25
10,2,4096,4,16,256,32,5030.11,5514.69,8471.5,8195753751.88,61336.38,8195774297.12,1773.25
10,6,384,16,8,512,512,4906.4,12757.94,8197.52,8196549731.12,22148.62,8196512789.0,1547.5
10,6,1024,6,2,64,64,563.86,8176.19,8024.26,256595028.25,225.75,256597669.88,768.25
10,6,64,12,16,256,32,5412.47,8479.82,8720.6,8195554054.38,2687.5,8195575278.12,892.5
10,6,2048,2,4,128,256,1103.79,5453.07,8489.24,1025162117.0,895.25,1025163830.25,829.25
10,16,256,16,2,64,64,564.28,8673.25,8121.57,256603229.5,147.75,256604922.25,794.25
10,1,768,6,8,512,1024,5025.46,8950.69,8492.27,8196633547.62,22343.62,8196360597.5,1774.25
10,16,4096,4,8,256,256,2519.69,17431.64,8451.03,4098414773.38,18927.25,4098407757.75,1105.25
10,1,128,16,2,128,1024,1110.7,1143.92,8237.93,513144886.0,452.75,513143570.62,624.25
10,10,1024,2,4,64,64,568.42,8958.72,8960.45,512598024.0,223.75,512597914.88,816.25
10,4,384,8,16,512,512,11728.81,14545.7,10801.78,16392277354.0,79293.5,16392093315.75,1554.5
10,12,1024,16,4,512,256,4566.33,18128.1,8941.0,4100649256.0,14862.75,4100646377.5,1210.25
10,2,384,4,16,64,1024,1337.63,2024.65,8543.79,2049076090.25,2593.25,2049034999.25,995.25
10,10,4096,8,8,128,32,1415.04,9755.81,9440.34,2049228962.5,2000.75,2049236994.25,1017.25
10,4,128,4,2,256,512,2305.86,10003.64,9837.33,1026408488.38,1083.75,1026406585.75,904.25
