runtime_seconds,num_enemy_sms,matrix_size,enemy_array_mb,victim_block_dim,enemy_block_x,victim_alone_ms,victim_concurrent_ms,enemy_ms,lts_sectors_avg_alone,lts_miss_avg_alone,lts_sectors_avg_concurrent,lts_miss_avg_concurrent
10,4,512,8,16,128,1.42,4.11,7878.69,264983.38,95967.5,264952.88,95359.75
10,6,512,8,16,128,1.0,7.51,7921.17,264861.75,95225.12,264967.38,96118.12
10,8,512,8,16,128,1.08,21.3,7922.71,264870.12,94997.88,264779.25,95174.75
10,10,512,8,16,128,1.11,48.57,7922.53,264882.0,95305.5,264949.62,94773.38
10,12,512,8,16,128,1.02,94.19,7923.27,264963.25,94995.12,264719.88,96280.25
10,8,128,8,16,128,0.07,0.36,7923.93,3282.88,533.5,3281.25,533.5
10,8,256,8,16,128,0.26,2.61,7923.93,28735.12,2070.12,29298.12,2069.5
10,8,384,8,16,128,0.54,9.23,7928.5,105231.62,4632.12,105369.5,4630.88
10,8,512,8,16,128,1.08,21.38,7923.41,264866.0,94739.5,264774.12,96190.5
10,8,768,8,16,128,3.23,76.18,7922.79,895391.88,452278.0,895599.62,452394.12
10,8,1024,8,16,128,7.4,179.39,7922.79,2129001.62,1066224.75,2131089.38,1066237.0
10,8,1536,8,16,128,24.98,641.34,7925.96,7206450.88,3585403.25,7205730.0,3583903.88
10,8,2048,8,16,128,59.61,1485.4,7928.79,17077002.25,8496494.12,17076205.5,8481443.25
10,8,512,2,16,128,1.02,8.97,8232.7,264979.88,95605.75,264618.5,96119.25
10,8,512,4,16,128,1.06,16.41,7966.01,264815.75,95893.88,264941.88,95016.5
10,8,512,6,16,128,1.0,19.23,7929.19,264799.12,96438.38,265174.25,95643.88
10,8,512,12,16,128,1.03,22.91,7929.49,264803.5,94612.62,265174.0,94631.25
10,8,512,16,16,128,0.99,23.81,7930.61,265039.5,95952.25,264705.5,96999.5
10,8,512,24,16,128,0.99,25.07,7927.5,264504.0,96936.75,264802.0,95111.75
10,8,512,32,16,128,1.04,26.22,7928.87,265036.62,95898.62,264971.25,95793.25
10,8,512,48,16,128,1.04,26.55,7929.43,265191.88,95458.25,264728.12,96127.75
10,8,512,64,16,128,1.05,26.85,7931.17,264994.25,94574.62,264887.12,95118.25
10,8,512,8,8,128,1.54,26.76,7930.92,402224.5,97344.25,419919.0,89461.75
10,8,512,8,16,128,0.99,21.55,7930.02,264598.62,96628.62,264945.25,95636.75
10,8,512,8,32,128,0.8,7906.24,7930.01,136010.75,69135.5,135670.12,69173.75
10,8,512,8,16,32,1.06,4.16,7930.45,264723.75,95118.62,265073.25,95262.5
10,8,512,8,16,64,1.01,21.18,7930.13,264779.62,95737.88,264698.88,95335.5
10,8,512,8,16,256,1.05,21.25,7929.91,264775.25,95523.25,264719.25,96521.38
10,8,512,8,16,512,1.08,21.31,7938.3,264751.62,95958.75,264869.38,95023.38
10,8,512,8,16,1024,1.04,6.1,7929.92,264976.75,95032.62,265022.88,96102.62
